event,date,category,window,CAR,se,t_stat,p_value,stars,significant
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-1,+1]",-0.001732,0.009452,-0.1832,0.8548,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-3,+3]",-0.004099,0.014468,-0.2833,0.7772,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-5,+5]",-0.00856,0.018129,-0.4722,0.6372,,False
China_RareEarth_Embargo,2010-09-22,Export_Controls,"[-10,+10]",0.009385,0.025047,0.3747,0.7082,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-1,+1]",-0.005636,0.005471,-1.0302,0.3039,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-3,+3]",-0.001095,0.008334,-0.1314,0.8956,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-5,+5]",-0.004241,0.010389,-0.4082,0.6835,,False
Sec301_China_Tariffs,2018-03-22,Trade_Coercion,"[-10,+10]",-0.014139,0.014323,-0.9872,0.3246,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-1,+1]",0.000974,0.005229,0.1863,0.8524,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-3,+3]",-0.006673,0.007988,-0.8353,0.4044,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-5,+5]",-0.009236,0.010031,-0.9208,0.3581,,False
Iran_JCPOA_Withdrawal,2018-05-08,Sanctions,"[-10,+10]",-0.020129,0.013872,-1.4511,0.1481,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-1,+1]",-0.004167,0.007015,-0.594,0.5531,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-3,+3]",-0.002756,0.010733,-0.2568,0.7976,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-5,+5]",-0.00263,0.013448,-0.1956,0.8451,,False
Huawei_EntityList,2019-05-16,Export_Controls,"[-10,+10]",0.013611,0.018572,0.7328,0.4644,,False
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-1,+1]",-0.034737,0.006648,-5.2251,0.0,***,True
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-3,+3]",-0.066944,0.010167,-6.5843,0.0,***,True
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-5,+5]",-0.097674,0.012739,-7.6671,0.0,***,True
Russia_SWIFT_Sanctions,2022-02-28,Sanctions,"[-10,+10]",-0.072448,0.017575,-4.1222,0.0001,***,True
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-1,+1]",-0.010309,0.009886,-1.0428,0.2981,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-3,+3]",-0.017763,0.01511,-1.1756,0.2409,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-5,+5]",-0.009946,0.01898,-0.524,0.6008,,False
BIS_Chip_Controls,2022-10-07,Export_Controls,"[-10,+10]",-0.01398,0.02621,-0.5334,0.5943,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-1,+1]",0.002809,0.006812,0.4123,0.6805,,False
Liberation_Day,2025-04-02,Trade_Coercion,"[-3,+3]",-0.036074,0.010548,-3.4201,0.0007,***,True
Liberation_Day,2025-04-02,Trade_Coercion,"[-5,+5]",-0.026655,0.013354,-1.996,0.0471,**,True
Liberation_Day,2025-04-02,Trade_Coercion,"[-10,+10]",-0.009969,0.018101,-0.5507,0.5823,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-1,+1]",0.000288,0.005919,0.0487,0.9612,,False
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-3,+3]",0.030309,0.009052,3.3484,0.0009,***,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-5,+5]",0.023491,0.011354,2.069,0.0396,**,True
Iran_JCPOA_Signing,2015-07-14,Sanctions_Relief,"[-10,+10]",0.005589,0.015685,0.3563,0.7219,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-1,+1]",-0.004025,0.005254,-0.766,0.4444,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-3,+3]",-0.012717,0.008019,-1.5859,0.1141,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-5,+5]",-0.008172,0.010048,-0.8133,0.4169,,False
US_China_PhaseOne_Deal,2020-01-15,Trade_Relief,"[-10,+10]",-0.009013,0.013902,-0.6484,0.5174,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-1,+1]",-0.006296,0.007468,-0.843,0.4001,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-3,+3]",-0.01026,0.011408,-0.8993,0.3694,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-5,+5]",-0.018118,0.014284,-1.2684,0.2059,,False
US_EU_Steel_Truce,2021-11-01,Trade_Relief,"[-10,+10]",-0.032578,0.019724,-1.6517,0.0999,*,True
